,Brand,sku,Available,Name,Price,Unit of Size,Size,Price,Previous Price,Discounted,Markdown Price,Markdown Label,Effective From,Effective Until,Whole Price,Store_ID
60,Banana Boat,079656016819,True,"Banana Boat Kid's Sport Lotion, SPF 50",$13.19,Ounce,6.0,$2.20/oz,$14.69,True,13.19,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,13.19,1
61,Sol Remedies,007191995160,True,Sol Remedies Sunscreen Reef Safe,$19.99,Ounce,4.0,$5.00/oz,$19.99,False,,,,,,11
62,Alba Botanica,724742004385,True,Alba Sunscreen Sensitive Spf45,$14.29,Ounce,3.0,$4.76/oz,$14.29,False,,,,,,11
63,Sun Bum,871760000322,True,Sun Bum Original SPF 50 Sunscreen Lotion,$12.59,Ounce,3.0,$4.20/oz,$13.99,True,12.59,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,12.59,11
64,Sun Bum,871760001923,True,Sun Bum Original SPF 15 Sunscreen Lotion,$20.69,Ounce,8.0,$2.59/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,11
65,Sun Bum,871760001930,True,Sun Bum Original SPF 30 Sunscreen Lotion,$20.69,Ounce,8.0,$2.59/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,11
66,Sun Bum,871760001947,True,Sun Bum Original SPF 50 Sunscreen Lotion,$20.69,Ounce,8.0,$2.59/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,11
67,Sun Bum,871760002098,True,Sun Bum Original SPF 70 Sunscreen Lotion,$20.69,Ounce,8.0,$2.59/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,11
68,Ao Organics,000602564894,True,Ao Organics Liquid Sunscreen Tinted,$27.99,Ounce,4.0,$7.00/oz,$27.99,False,,,,,,11
69,Ao Organics,000602592828,True,Ao Organics Sunscreen Stick Med,$15.99,Ounce,2.0,$8.00/oz,$17.99,True,15.99,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,15.99,11
70,Little Hands Hawaii,680201860643,True,Little Hands Hawaii Sunscreen Original,$18.99,Ounce,1.0,$18.99/oz,$18.99,False,,,,,,11
71,Little Hands Hawaii,680201860636,True,Little Hands Hawaii Sunscreen Tinted,$18.99,Ounce,4.0,$4.75/oz,$18.99,False,,,,,,11
72,Little Hands Hawaii,852673999477,True,Little Hands Hawaii Tinted Sunscreen,$15.49,Ounce,4.0,$3.87/oz,$15.49,False,,,,,,11
73,Maui Vera,856930004041,True,Maui Vera Mineral Sunscreen Spf30,$24.49,Ounce,6.5,$3.77/oz,$26.99,True,24.49,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,24.49,11
74,Maui Vera,856930004058,True,Maui Vera Mineral Sunscreen Spf30,$12.99,Ounce,3.0,$4.33/oz,$14.99,True,12.99,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,12.99,11
75,Hawaiian Tropic,075486089894,True,"Hawaiian Tropic Island Sport Sunscreen, SPF 30",$13.99,Ounce,6.0,$2.33/oz,$13.99,False,,,,,,11
76,Ao Organics,000274145810,True,Ao Organics Reef Safe Sunscreen Lot,$24.99,Ounce,4.0,$6.25/oz,$27.99,True,24.99,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,24.99,11
77,Sun Bum,871760001954,True,"Sun Bum Sunscreen Spray, SPF 15",$20.69,Ounce,6.0,$3.45/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,11
78,Hawaiian Tropic,075486087463,True,Hawaiian Tropic Sheer Touch Ultra Radiance Lotion Sunscreen SPF 15,$11.99,Ounce,8.0,$1.50/oz,$13.69,True,11.99,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,11.99,11
79,Alba Botanica,724742003814,True,"Alba Botanica Sunscreen Sensitive Spray, SPF 50",$19.99,Ounce,6.0,$3.33/oz,$19.99,False,,,,,,11
80,Banana Boat,079656031867,True,"Banana Boat Sport Performance Sunscreen, SPF 50",$13.19,Ounce,8.0,$1.65/oz,$14.69,True,13.19,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,13.19,11
81,Banana Boat,079656031799,True,"Banana Boat Sport Sunscreen Spray, SPF 50+",$13.19,Ounce,6.0,$2.20/oz,$14.69,True,13.19,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,13.19,11
82,Sun Bum,871760001978,True,"Sun Bum Moisturizing Sunscreen Spray, SPF 50",$20.69,Ounce,6.0,$3.45/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,11
83,Alba Botanica,724742008437,True,"Alba Botanica Hawaiian Sunscreen, Nourishing Coconut SPF 50",$20.49,Ounce,6.0,$3.42/oz,$20.49,False,,,,,,11
84,Alba Botanica,724742003906,True,"Alba Botanica Sunscreen Lotion, Sport Protection, SPF 45",$14.99,Ounce,4.0,$3.75/oz,$14.99,False,,,,,,11
85,Banana Boat,079656024326,True,Banana Boat Baby 100% Mineral Sunscreen Lotion SPF50,$13.99,Ounce,6.0,$2.33/oz,$15.49,True,13.99,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,13.99,11
86,Banana Boat,079656049718,True,"Banana Boat Sport Performance Sunscreen Lotion, SPF 30",$11.49,Ounce,8.0,$1.44/oz,$12.99,True,11.49,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,11.49,11
87,Banana Boat,079656049725,True,"Banana Boat Sport Performance Sunscreen Lotion, SPF 50+",$12.99,Ounce,8.0,$1.62/oz,$14.59,True,12.99,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,12.99,11
88,Banana Boat,079656004229,True,Banana Boat Ultra Sport Performance SPF 30 Sunscreen,$11.49,Ounce,10.0,$1.15/oz,$12.99,True,11.49,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,11.49,11
89,Banana Boat,079656031782,True,"Banana Boat Ultra Sport Performance Sunscreen, SPF 30",$11.99,Ounce,6.0,$2.00/oz,$13.29,True,11.99,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,11.99,11
90,Hawaiian Tropic,075486087470,True,"Hawaiian Tropic Sheer Touch Sunscreen Lotion, SPF 30",$11.99,Ounce,8.0,$1.50/oz,$13.69,True,11.99,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,11.99,11
91,Hawaiian Tropic,075486087609,True,"Hawaiian Tropic Sheer Touch Sunscreen Lotion, SPF 50",$13.49,Ounce,8.0,$1.69/oz,$14.99,True,13.49,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,13.49,11
92,Sun Bum,871760000339,True,Sun Bum Travel Size Moisturizing Sunscreen Lotion SPF70,$12.59,Ounce,3.0,$4.20/oz,$13.99,True,12.59,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,12.59,11
93,Alba Botanica,724742008253,True,Alba Botanica Hawaiian Sunscreen Soothing Aloe Vera Spf 30,$15.29,Ounce,4.0,$3.82/oz,$15.29,False,,,,,,11
94,Alba Botanica,724742008277,True,"Alba Botanica Hawaiian Sunscreen, Revitalizing Green Tea Spf 45",$14.99,Ounce,4.0,$3.75/oz,$14.99,False,,,,,,11
95,Alba Botanica,724742003821,True,"Alba Botanica Sunscreen Active Kids Clear Spray, SPF 50",$19.99,Ounce,6.0,$3.33/oz,$19.99,False,,,,,,11
96,Banana Boat,079656000252,True,"Banana Boat Sunscreen, Spray, Deep Tanning Oil, SPF 4",$11.69,Ounce,8.0,$1.46/oz,$11.69,False,,,,,,11
97,Hawaiian Tropic,075486091125,True,"Hawaiian Tropic Silk Hydration Sunscreen Clear Spray, SPF 30",$12.49,Ounce,6.0,$2.08/oz,$13.99,True,12.49,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,12.49,11
98,Coola,857724008245,True,Coola Classic Body Organic Sunscreen Lotion SPF 50 - Fragrance Free,$27.99,Ounce,5.0,$5.60/oz,$27.99,False,,,,,,11
99,Coola,857724008252,True,Coola Classic Body Organic Sunscreen Lotion SPF 50 - Guava Mango,$27.99,Ounce,5.0,$5.60/oz,$27.99,False,,,,,,11
100,Coola,857724008962,True,Coola Classic Body Organic Sunscreen Spray SPF 30 - Tropical Coconut,$24.99,Ounce,6.0,$4.17/oz,$24.99,False,,,,,,11
101,Coola,857724008986,True,Coola Classic Body Organic Sunscreen Spray SPF 50 - Fragrance Free,$24.99,Ounce,6.0,$4.17/oz,$24.99,False,,,,,,11
102,Coola,857724008979,True,Coola Classic Body Organic Sunscreen Spray SPF 50 - Guava Mango,$24.99,Ounce,6.0,$4.17/oz,$24.99,False,,,,,,11
103,Hawaiian Tropic,075486091170,True,Hawaiian Tropic Everyday Active Lotion SPF 50,$14.99,Ounce,8.0,$1.87/oz,$14.99,False,,,,,,11
104,Hawaiian Tropic,075486089870,True,Hawaiian Tropic Island Sport Lotion SPF 30,$13.69,Ounce,8.0,$1.71/oz,$13.69,False,,,,,,11
105,Hawaiian Tropic,075486091149,True,Hawaiian Tropic Everyday Active Clear Spray SPF 50,$14.99,Ounce,6.0,$2.50/oz,$14.99,False,,,,,,11
106,Sun Bum,871760008137,True,Sun Bum Mineral Spray SPF 50,$19.99,Each,1.0,,$19.99,False,,,,,,11
107,Sun Bum,840155600621,True,Sun Bum Face Lotion SPF 70,$18.99,Ounce,18.0,$1.06/oz,$18.99,False,,,,,,11
108,Sun Bum,871760002975,True,"Sun Bum Face Lotion, SPF 50",$17.19,Ounce,3.0,$5.73/oz,$18.99,True,17.19,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,17.19,11
109,Sun Bum,840155602113,True,Sun Bum SPF 30 Oil Spray,$24.99,Ounce,5.0,$5.00/oz,$24.99,False,,,,,,11
110,Hawaiian Tropic,075486091927,True,Hawaiian Tropic Silk Hydration Weightless Continuous Spray SPF 50,$13.49,Ounce,6.0,$2.25/oz,$14.99,True,13.49,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,13.49,11
111,Sun Bum,871760007727,True,Sun Bum Mineral Lotion Face SPF 30,$24.99,Each,1.0,,$24.99,False,,,,,,11
112,Sun Bum,840155602090,True,Sun Bum SPF 50 Lotion Roll-on,$20.99,Ounce,3.0,$7.00/oz,$20.99,False,,,,,,11
113,Sun Bum,840155602120,True,Sun Bum Glow SPF 30 Lotion,$22.99,Each,1.0,,$22.99,False,,,,,,11
114,Hawaiian Tropic,075486132309,True,Hawaiian Tropic Lip Balm SPF30,$3.50,Ounce,0.15,$23.33/oz,$3.99,True,3.5,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,3.5,11
115,Sol Remedies,007191995160,True,Sol Remedies Sunscreen Reef Safe,$19.99,Ounce,4.0,$5.00/oz,$19.99,False,,,,,,3
