id,brand,sku,available,product_name,match_id,price,unit_of_size,size,price_per_size,previous_price,discounted,markdown_price,markdown_label,effective_from,effective_until,whole_price,retailer_store_id
377,"Element Herbs",13964029413,1,"Eh Coconut Sunscreen Stk Spf30",56,10.29,Ounce,0.60,$17.15/oz,$10.29,0,NULL,NULL,NULL,NULL,NULL,27
378,"Elemental Herbs",13964029406,1,"Eh Unscntd Sunscreen Stk Spf30",108,10.29,Ounce,0.60,$17.15/oz,$10.29,0,NULL,NULL,NULL,NULL,NULL,27
379,"Little Hands Hawaii",680201860643,1,"Little Hands Hawaii Sunscreen Original",83,16.99,Ounce,1.00,$16.99/oz,$18.99,1,16.99,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",16.99,27
380,"Little Hands Hawaii",680201860636,1,"Little Hands Hawaii Sunscreen Tinted",82,16.99,Ounce,4.00,$4.25/oz,$18.99,1,16.99,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",16.99,27
381,"Little Hands Hawaii",852673999477,1,"Little Hands Hawaii Tinted Sunscreen",81,13.49,Ounce,4.00,$3.37/oz,$15.49,1,13.49,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",13.49,27
382,"Maui Vera",856930004041,1,"Maui Vera Mineral Sunscreen Spf30",84,24.49,Ounce,6.50,$3.77/oz,$26.99,1,24.49,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",24.49,27
383,"Maui Vera",856930004058,1,"Maui Vera Mineral Sunscreen Spf30",84,12.99,Ounce,3.00,$4.33/oz,$14.99,1,12.99,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",12.99,27
384,"Hawaiian Tropic",75486089894,1,"Hawaiian Tropic Island Sport Sunscreen, SPF 30",74,13.99,Ounce,6.00,$2.33/oz,$13.99,0,NULL,NULL,NULL,NULL,NULL,27
385,"Hawaiian Tropic",75486091859,1,"Hawaiian Tropic Silk Hydration Lotion Sunscreen, SPF 30",73,13.69,Ounce,6.00,$2.28/oz,$13.69,0,NULL,NULL,NULL,NULL,NULL,27
386,"Sun Bum",871760001954,1,"Sun Bum Sunscreen Spray, SPF 15",101,20.69,Ounce,6.00,$3.45/oz,$22.99,1,20.69,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",20.69,27
387,Neutrogena,86800110804,1,"Neutrogena Sheer Zinc Dry-Touch Sunscreen Broad Spectrum SPF 50",1,19.99,Each,1.00,NULL,$19.99,0,NULL,NULL,NULL,NULL,NULL,27
388,"Hawaiian Tropic",75486087463,1,"Hawaiian Tropic Sheer Touch Ultra Radiance Lotion Sunscreen SPF 15",58,11.99,Ounce,8.00,$1.50/oz,$13.69,1,11.99,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",11.99,27
389,"Alba Botanica",724742003814,1,"Alba Botanica Sunscreen Sensitive Spray, SPF 50",40,19.99,Ounce,6.00,$3.33/oz,$19.99,0,NULL,NULL,NULL,NULL,NULL,27
390,"Banana Boat",79656031867,1,"Banana Boat Sport Performance Sunscreen, SPF 50",2,13.19,Ounce,8.00,$1.65/oz,$14.69,1,13.19,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",13.19,27
391,"Banana Boat",79656031799,1,"Banana Boat Sport Sunscreen Spray, SPF 50+",3,13.19,Ounce,6.00,$2.20/oz,$14.69,1,13.19,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",13.19,27
392,"Hawaiian Tropic",75486087425,1,"Hawaiian Tropic Sunscreen Tanning Lotion, Spf 4",79,13.69,Ounce,8.00,$1.71/oz,$13.69,0,NULL,NULL,NULL,NULL,NULL,27
393,"Sun Bum",871760001978,1,"Sun Bum Moisturizing Sunscreen Spray, SPF 50",97,20.69,Ounce,6.00,$3.45/oz,$22.99,1,20.69,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",20.69,27
394,"Hawaiian Tropic",75486132538,1,"Hawaiian Tropic Mineral Translucent Sunscreen Powder Brush SPF 30",57,23.99,Ounce,0.15,$159.93/oz,$23.99,0,NULL,NULL,NULL,NULL,NULL,27
395,Neutrogena,86800110828,1,"Neutrogena Pure & Free Baby Sunscreen Lotion Broad Spectrum SPF 50",4,19.99,Ounce,3.00,$6.66/oz,$19.99,0,NULL,NULL,NULL,NULL,NULL,27
396,"Alba Botanica",724742008437,1,"Alba Botanica Hawaiian Sunscreen, Nourishing Coconut SPF 50",32,20.49,Ounce,6.00,$3.42/oz,$20.49,0,NULL,NULL,NULL,NULL,NULL,27
